1101,台泥
1101B,台泥乙特
1102,亞泥
1103,嘉泥
1104,環泥
1108,幸福
1109,信大
1110,東泥
1201,味全
1203,味王
1210,大成
1213,大飲
1215,卜蜂
1216,統一
1217,愛之味
1218,泰山
1219,福壽
1220,台榮
1225,福懋油
1227,佳格
1229,聯華
1231,聯華食
1232,大統益
1233,天仁
1234,黑松
1235,興泰
1236,宏亞
1256,鮮活果汁-KY
1702,南僑
1737,臺鹽
1301,台塑
1303,南亞
1304,台聚
1305,華夏
1307,三芳
1308,亞聚
1309,台達化
1310,台苯
1312,國喬
1312A,國喬特
1313,聯成
1314,中石化
1315,達新
1321,大洋
1323,永裕
1324,地球
1325,恆大
1326,台化
1337,再生-KY
1340,勝悅-KY
1341,富林-KY
4306,炎洲
1402,遠東新
1409,新纖
1410,南染
1413,宏洲
1414,東和
1417,嘉裕
1418,東華
1419,新紡
1423,利華
1434,福懋
1439,雋揚
1440,南紡
1441,大東
1444,力麗
1445,大宇
1446,宏和
1447,力鵬
1449,佳和
1451,年興
1452,宏益
1454,台富
1455,集盛
1457,宜進
1459,聯發
1460,宏遠
1463,強盛
1464,得力
1465,偉全
1466,聚隆
1467,南緯
1468,昶和
1470,大統新創
1472,三洋實業
1473,台南
1474,弘裕
1475,業旺
1476,儒鴻
1477,聚陽
4414,如興
4426,利勤
4438,廣越
4439,冠星-KY
4440,宜新實業
1503,士電
1504,東元
1506,正道
1513,中興電
1514,亞力
1515,力山
1517,利奇
1519,華城
1526,日馳
1527,鑽全
1528,恩德
1529,樂事綠能
1530,亞崴
1531,高林股
1532,勤美
1535,中宇
1537,廣隆
1538,正峰
1539,巨庭
1540,喬福
1541,錩泰
1558,伸興
1560,中砂
1583,程泰
1589,永冠-KY
1590,亞德客-KY
1597,直得
2049,上銀
2371,大同
3167,大量
4526,東台
4532,瑞智
4540,全球傳動
4552,力達-KY
4555,氣立
4560,強信-KY
4562,穎漢
4564,元翎
4566,時碩工業
4571,鈞興-KY
4572,駐龍
4576,大銀微系統
4583,台灣精銳
5288,豐祥-KY
8222,寶一
8374,羅昇
8996,高力
1603,華電
1604,聲寶
1605,華新
1608,華榮
1609,大亞
1611,中電
1612,宏泰
1614,三洋電
1615,大山
1616,億泰
1617,榮星
1618,合機
1626,艾美特-KY
4930,燦星網
5283,禾聯碩
1708,東鹼
1709,和益
1710,東聯
1711,永光
1712,興農
1713,國化
1714,和桐
1717,長興
1718,中纖
1721,三晃
1722,台肥
1723,中碳
1725,元禎
1726,永記
1727,中華化
1730,花仙子
1732,毛寶
1735,日勝化
